lm0_x,lm0_y,lm0_z,lm1_x,lm1_y,lm1_z,lm2_x,lm2_y,lm2_z,lm3_x,lm3_y,lm3_z,lm4_x,lm4_y,lm4_z,lm5_x,lm5_y,lm5_z,lm6_x,lm6_y,lm6_z,lm7_x,lm7_y,lm7_z,lm8_x,lm8_y,lm8_z,lm9_x,lm9_y,lm9_z,lm10_x,lm10_y,lm10_z,lm11_x,lm11_y,lm11_z,lm12_x,lm12_y,lm12_z,lm13_x,lm13_y,lm13_z,lm14_x,lm14_y,lm14_z,lm15_x,lm15_y,lm15_z,lm16_x,lm16_y,lm16_z,lm17_x,lm17_y,lm17_z,lm18_x,lm18_y,lm18_z,lm19_x,lm19_y,lm19_z,lm20_x,lm20_y,lm20_z,label
0.7652187347412109,0.29585567116737366,-6.762149951100582e-07,0.7389897108078003,0.4108724594116211,-0.033415287733078,0.6800420880317688,0.5307794809341431,-0.048635710030794144,0.631811261177063,0.6170270442962646,-0.06272537261247635,0.5968812108039856,0.6841303110122681,-0.0695902481675148,0.5899307727813721,0.4667569398880005,-0.009235510602593422,0.5566095113754272,0.4834096431732178,-0.050758421421051025,0.6174989938735962,0.4624015986919403,-0.07332723587751389,0.658927321434021,0.4460635483264923,-0.08214809745550156,0.5818039774894714,0.3803215026855469,-0.008614019490778446,0.5600656867027283,0.3963760733604431,-0.05411253869533539,0.6360673308372498,0.388450026512146,-0.06526888906955719,0.6645586490631104,0.38194209337234497,-0.061683446168899536,0.588779091835022,0.2939378321170807,-0.015845535323023796,0.5663533806800842,0.3026406168937683,-0.058970022946596146,0.6330181360244751,0.31199339032173157,-0.047712232917547226,0.6559579372406006,0.3141919672489166,-0.028501350432634354,0.604303240776062,0.21190951764583588,-0.026187676936388016,0.5871942043304443,0.21738888323307037,-0.05045653134584427,0.6339997053146362,0.24169112741947174,-0.038903336971998215,0.6505324840545654,0.2546394467353821,-0.02309693954885006,pulgar_abajo
0.7626541256904602,0.29791632294654846,-6.831476753177412e-07,0.7385495901107788,0.41178053617477417,-0.033419303596019745,0.6803330183029175,0.5325013995170593,-0.04865375906229019,0.6319175362586975,0.6196626424789429,-0.06272170692682266,0.5962904691696167,0.6860223412513733,-0.0695362538099289,0.5900320410728455,0.47072285413742065,-0.009360995143651962,0.5547234416007996,0.4892229437828064,-0.05104381963610649,0.6150692701339722,0.467833936214447,-0.07333053648471832,0.6568155884742737,0.4510824978351593,-0.08183477818965912,0.5812636613845825,0.3849247395992279,-0.008557748049497604,0.5601893067359924,0.4012313783168793,-0.054508108645677567,0.6361945271492004,0.3919512629508972,-0.06555123627185822,0.6643427610397339,0.38617172837257385,-0.061630286276340485,0.5872656106948853,0.29917675256729126,-0.01566416211426258,0.5670615434646606,0.3080342411994934,-0.05914419889450073,0.6338486075401306,0.31574171781539917,-0.04809082671999931,0.6558542847633362,0.3188689947128296,-0.028860509395599365,0.6015205383300781,0.21695029735565186,-0.0258638933300972,0.5866570472717285,0.22368194162845612,-0.050241269171237946,0.6338930726051331,0.24588897824287415,-0.03904176503419876,0.6494250893592834,0.25858795642852783,-0.02342390827834606,pulgar_abajo
0.7610433101654053,0.30397331714630127,-6.713575544381456e-07,0.7358400821685791,0.41538941860198975,-0.032354384660720825,0.6777235269546509,0.5348820090293884,-0.047672089189291,0.6303046345710754,0.6236482858657837,-0.062154628336429596,0.5947821140289307,0.6911750435829163,-0.0698302611708641,0.5911620259284973,0.47272002696990967,-0.00832915585488081,0.5539587736129761,0.4949331283569336,-0.04956456646323204,0.6126649379730225,0.47570911049842834,-0.07237085700035095,0.6543117165565491,0.4586864709854126,-0.08142903447151184,0.5826205015182495,0.388645738363266,-0.008080493658781052,0.5576255321502686,0.4093865752220154,-0.053295135498046875,0.6322094202041626,0.4011165499687195,-0.06455495953559875,0.6613178849220276,0.39325401186943054,-0.06099539250135422,0.5884247422218323,0.3039262592792511,-0.015586181543767452,0.5631139278411865,0.3165235221385956,-0.05825059488415718,0.6290518045425415,0.32446762919425964,-0.047219447791576385,0.6521942019462585,0.32493889331817627,-0.028204288333654404,0.6025062203407288,0.221806600689888,-0.026065323501825333,0.5844196081161499,0.23180118203163147,-0.05002978444099426,0.6309914588928223,0.25431573390960693,-0.0386638343334198,0.6476146578788757,0.26478707790374756,-0.02313266694545746,pulgar_abajo
0.760222315788269,0.3055204749107361,-6.644118570875435e-07,0.7361836433410645,0.4157681465148926,-0.03320170193910599,0.6775215268135071,0.5356709957122803,-0.04911841079592705,0.6295591592788696,0.6248745322227478,-0.064079649746418,0.5940667986869812,0.6937384605407715,-0.0720401331782341,0.592307448387146,0.4746905565261841,-0.01047151256352663,0.5520740151405334,0.49717065691947937,-0.0527338869869709,0.611014723777771,0.4777471125125885,-0.07516899704933167,0.6522635817527771,0.4605579972267151,-0.08372258394956589,0.5838407874107361,0.3906973898410797,-0.010115557350218296,0.5556826591491699,0.4102323651313782,-0.05656692385673523,0.63150954246521,0.402326762676239,-0.06708230078220367,0.6592961549758911,0.3947817087173462,-0.06261680275201797,0.5895659923553467,0.3059834837913513,-0.017595214769244194,0.5619271993637085,0.31771421432495117,-0.061119288206100464,0.6290059685707092,0.32564017176628113,-0.0488600991666317,0.6507401466369629,0.3256920278072357,-0.028824208304286003,0.6031612753868103,0.2234354019165039,-0.028132101520895958,0.5842666625976562,0.23290295898914337,-0.0521765761077404,0.6312522888183594,0.25558745861053467,-0.0400422103703022,0.6470072865486145,0.2657720744609833,-0.023927660658955574,pulgar_abajo
0.7598664164543152,0.30659523606300354,-6.560973133673542e-07,0.7351024150848389,0.41272926330566406,-0.033296793699264526,0.6776390075683594,0.5317656993865967,-0.05000846087932587,0.6310347318649292,0.6225505471229553,-0.06571663916110992,0.5932924151420593,0.6898727416992188,-0.07439395785331726,0.5927099585533142,0.47596830129623413,-0.011675523594021797,0.5500496625900269,0.49856093525886536,-0.054770577698946,0.6082391142845154,0.47947362065315247,-0.0782318115234375,0.6498821377754211,0.46133580803871155,-0.08748447895050049,0.5843921899795532,0.39055106043815613,-0.011295313015580177,0.5553263425827026,0.40967604517936707,-0.059189487248659134,0.6312381625175476,0.40166059136390686,-0.0704340711236,0.6603899002075195,0.39335209131240845,-0.06624287366867065,0.5901503562927246,0.30554795265197754,-0.018693994730710983,0.5629472136497498,0.3170911967754364,-0.0626954585313797,0.6301407217979431,0.3246528208255768,-0.05057293921709061,0.6518958806991577,0.32461118698120117,-0.030614109709858894,0.6035189628601074,0.22283948957920074,-0.029158595949411392,0.5852369070053101,0.2317836582660675,-0.053350795060396194,0.6331142783164978,0.25479161739349365,-0.04129989072680473,0.648921549320221,0.2660703957080841,-0.025355344638228416,pulgar_abajo
0.7586526274681091,0.3074724078178406,-6.470774565059401e-07,0.73399418592453,0.41501516103744507,-0.03419150412082672,0.6765298247337341,0.5327918529510498,-0.051035214215517044,0.6293335556983948,0.6211029291152954,-0.06657867878675461,0.59200119972229,0.6875468492507935,-0.07503479719161987,0.5914976000785828,0.47518494725227356,-0.013107367791235447,0.5507085919380188,0.4961608052253723,-0.05634230375289917,0.6088597178459167,0.4772498607635498,-0.07962548732757568,0.6503499746322632,0.4594021737575531,-0.08864554762840271,0.583760142326355,0.38946768641471863,-0.012298681773245335,0.5554801225662231,0.40773633122444153,-0.060146596282720566,0.6313229203224182,0.40020373463630676,-0.0710594430565834,0.6599206328392029,0.3914833068847656,-0.06664866954088211,0.5901020169258118,0.30455130338668823,-0.019288673996925354,0.5627177953720093,0.31487053632736206,-0.063480444252491,0.6293439865112305,0.32338595390319824,-0.05115395411849022,0.650939404964447,0.32242557406425476,-0.030986180528998375,0.6038827896118164,0.2228475958108902,-0.02941717952489853,0.585512638092041,0.23054462671279907,-0.05389010161161423,0.6327412724494934,0.2545151710510254,-0.04178433120250702,0.6484115719795227,0.26504117250442505,-0.025644687935709953,pulgar_abajo
0.7593418955802917,0.3061968684196472,-6.374366989803093e-07,0.7325752973556519,0.41392508149147034,-0.032616592943668365,0.6754180192947388,0.530168890953064,-0.04962296038866043,0.6278170347213745,0.6188608407974243,-0.0657745897769928,0.5905641317367554,0.6864726543426514,-0.07528934627771378,0.5914801359176636,0.4699896275997162,-0.011517060920596123,0.5511372685432434,0.4934326708316803,-0.0547897070646286,0.608452320098877,0.47547489404678345,-0.0789603441953659,0.6503316164016724,0.45773226022720337,-0.08859040588140488,0.584638774394989,0.3858640789985657,-0.011349155567586422,0.553942084312439,0.4078320562839508,-0.05871972814202309,0.6286783814430237,0.40055209398269653,-0.07026123255491257,0.6587120294570923,0.3901020884513855,-0.06643284857273102,0.5917009711265564,0.30156147480010986,-0.018788406625390053,0.5608739852905273,0.3155493140220642,-0.06260234862565994,0.6266939640045166,0.32435816526412964,-0.05072423815727234,0.6497420072555542,0.32148173451423645,-0.03079219162464142,0.6061721444129944,0.21989549696445465,-0.029101887717843056,0.5842452049255371,0.23321561515331268,-0.052946556359529495,0.6303523778915405,0.25735652446746826,-0.04053249955177307,0.646684467792511,0.2649068236351013,-0.024264492094516754,pulgar_abajo
0.7602698802947998,0.30720844864845276,-6.394085971805907e-07,0.7331104278564453,0.4136612117290497,-0.03187037259340286,0.6756824851036072,0.5295570492744446,-0.04846740514039993,0.6279340982437134,0.6183949708938599,-0.06448465585708618,0.5905738472938538,0.6861345767974854,-0.07404150813817978,0.5923404097557068,0.4692220091819763,-0.010300700552761555,0.5504418611526489,0.4925793409347534,-0.05322359874844551,0.6073587536811829,0.4755062758922577,-0.07713061571121216,0.6496689915657043,0.45869868993759155,-0.08650811016559601,0.5854234099388123,0.38628238439559937,-0.010478593409061432,0.5533591508865356,0.40775465965270996,-0.05771839991211891,0.6277158260345459,0.4009285867214203,-0.0694940909743309,0.6581420302391052,0.39127200841903687,-0.06567186117172241,0.592106819152832,0.30263227224349976,-0.018228983506560326,0.5600827932357788,0.31659168004989624,-0.06228356435894966,0.626114547252655,0.3248554766178131,-0.05079703405499458,0.649699866771698,0.3223193287849426,-0.0308916587382555,0.6062362194061279,0.22076313197612762,-0.028730424121022224,0.5822000503540039,0.2340776026248932,-0.05302949622273445,0.6288410425186157,0.2574198842048645,-0.04069619998335838,0.6460944414138794,0.26533806324005127,-0.024282870814204216,pulgar_abajo
0.7600151896476746,0.3083939254283905,-6.415131679204933e-07,0.7334668040275574,0.41504383087158203,-0.03211323171854019,0.6760785579681396,0.5320162773132324,-0.04873507097363472,0.628359317779541,0.6203269362449646,-0.06467613577842712,0.5907087326049805,0.6872456073760986,-0.07406158745288849,0.5928909182548523,0.4715617895126343,-0.01052247267216444,0.5512831211090088,0.4939783811569214,-0.05383294075727463,0.6082851886749268,0.47834038734436035,-0.07781921327114105,0.6502596735954285,0.46186426281929016,-0.08724461495876312,0.5856389999389648,0.3886784613132477,-0.010761575773358345,0.5538854598999023,0.40875861048698425,-0.05852604657411575,0.6285650134086609,0.40303272008895874,-0.07025264203548431,0.658577024936676,0.39372727274894714,-0.06622128188610077,0.5916354060173035,0.30537670850753784,-0.01866687834262848,0.5613969564437866,0.3186095654964447,-0.06278135627508163,0.627592921257019,0.32737085223197937,-0.051044169813394547,0.6501755118370056,0.32531723380088806,-0.031026439741253853,0.6050225496292114,0.22370998561382294,-0.0294402576982975,0.5836253762245178,0.23665384948253632,-0.05341671034693718,0.6302808523178101,0.2594143748283386,-0.04102352261543274,0.646113395690918,0.2672329545021057,-0.024680526927113533,pulgar_abajo
0.759952962398529,0.3095415234565735,-6.41017493308027e-07,0.7328936457633972,0.4167700409889221,-0.03125828504562378,0.6756302118301392,0.5336595773696899,-0.047289445996284485,0.6280667781829834,0.6207993030548096,-0.0629061684012413,0.5903429388999939,0.6870962381362915,-0.07213873416185379,0.5914296507835388,0.471648633480072,-0.00815251562744379,0.5514844655990601,0.4947483539581299,-0.05099598690867424,0.607994794845581,0.478704571723938,-0.07551904767751694,0.6500955820083618,0.4617888033390045,-0.08533737063407898,0.5841665267944336,0.389011949300766,-0.008656105026602745,0.5542199611663818,0.40996044874191284,-0.055773839354515076,0.6283228397369385,0.4037972688674927,-0.06807886064052582,0.6587445139884949,0.393423855304718,-0.06451113522052765,0.5904319286346436,0.30598750710487366,-0.01682461053133011,0.56183260679245,0.32010501623153687,-0.06054520234465599,0.6277714371681213,0.32852134108543396,-0.04941941425204277,0.6510835886001587,0.3254508078098297,-0.029732447117567062,0.6043267846107483,0.22486647963523865,-0.027813265100121498,0.5834835767745972,0.23848764598369598,-0.05157558247447014,0.6299679279327393,0.26134371757507324,-0.039348799735307693,0.6464414596557617,0.26861685514450073,-0.023027097806334496,pulgar_abajo
